они жаждят чтобы ты следовал в пункт 250 и занес скороход именно нам,движение(пункт 250)движение взять(скороход)взять движение(обратно)движение
привет сгоняй в пункт 256 и забери коллегам телефон а после этого возвращайся,взять(телефон)взять движение(пункт 256)движение движение(обратно)движение
здравствуй Николаю охота чтобы ты шел в кабинет 581 и передал натасчик сюда только,движение(кабинет 581)движение взять(натасчик)взять движение(обратно)движение
привет следуй в аудитория 414 и занеси юла нам,движение(аудитория 414)движение взять(юла)взять движение(обратно)движение
переместись пожалуйста в пункт 665 и довези оклик коллегам после возвращайся обратно,взять(оклик)взять движение(пункт 665)движение движение(обратно)движение
привет они жаждят чтобы ты доставил прискочка из аудитория 665,движение(аудитория 665)движение взять(прискочка)взять движение(обратно)движение
добрый вечер жаждим чтобы ты довез попонка мне из аудитория 734,движение(аудитория 734)движение взять(попонка)взять движение(обратно)движение
пожалуйста попробуй занести налегание в библиотека и вот только затем зайти в исходную точку,взять(налегание)взять движение(библиотека)движение движение(обратно)движение
привези бандуристка в аудитория 347 а после чего вернись,взять(бандуристка)взять движение(аудитория 347)движение движение(обратно)движение
они просят чтобы ты доставил пересушка в отдел кадров,взять(пересушка)взять движение(отдел кадров)движение
добрый вечер довези вот нам полудремота из медпункт,движение(медпункт)движение взять(полудремота)взять движение(обратно)движение
извольте принести смоловарня пожалуйста в кабинет 208 а потом съездить назад,взять(смоловарня)взять движение(кабинет 208)движение движение(обратно)движение
попробуй телепортироваться в библиотека и занести поэтика им,взять(поэтика)взять движение(библиотека)движение
привет жаждим чтобы ты забрал антоновка в кампус Бразилия и затем заехал обратно,взять(антоновка)взять движение(кампус Бразилия)движение движение(обратно)движение
привет мне хочется чтобы ты передал альтернатива в пункт 215,взять(альтернатива)взять движение(пункт 215)движение
добрый вечер хотим чтобы ты дошел в пункт 298 и доставил водопойка для меня как раз,движение(пункт 298)движение взять(водопойка)взять движение(обратно)движение
здравствуй ваша трудолюбивая команда жаждет чтобы ты захватил секундатор из библиотека,движение(библиотека)движение взять(секундатор)взять движение(обратно)движение
желаем чтобы ты довез заезд в библиотека затем шел в начальную точку,взять(заезд)взять движение(библиотека)движение движение(обратно)движение
друг занеси сухарь в аудитория 353,взять(сухарь)взять движение(аудитория 353)движение
не откажи в любезности зайти в библиотека и отвезти для нас ротишко,движение(библиотека)движение взять(ротишко)взять движение(обратно)движение
отнеси приваривание в медпункт после переместись в исходную точку,взять(приваривание)взять движение(медпункт)движение движение(обратно)движение
дружок принеси удерживание из медпункт,движение(медпункт)движение взять(удерживание)взять движение(обратно)движение
увези офицерьё нам вот из аудитория 247,движение(аудитория 247)движение взять(офицерьё)взять движение(обратно)движение
добрый вечер доберись в медпункт и захвати им батат,взять(батат)взять движение(медпункт)движение
бога ради доставь середняк из пункт 388,движение(пункт 388)движение взять(середняк)взять движение(обратно)движение
привет их талантливые группы жаждят чтобы ты прихватил невнимательность в аудитория 913,взять(невнимательность)взять движение(аудитория 913)движение
